Categoria,Contrato,Modelo Titular,Operação ,Cadastro - Logistics,Cadastro como Deveria Ser,Modo de carga,Placa,Ultimo BIPE,Dias Sem BIPE,Cadastro,Valor Diária,Energia,STATUS DO FORMS,STATUS DO VEÍCULO,MOTIVO DA MANUTENÇÃO,DESCRIÇÃO DO PROBLEMA (+ recente),ATUALIZAÇÕES,STATUS GEOTAB,Ultima Localização,Nº DE SERIE GEOTAB,Ultima Localização,Horário,Oficina,Contato ,Previsão Desmobilização,TICKET MANUTENÇÃO ROTAGYN,Estacionamentos - veículos em manutenção,Devolução,Representante da Basepex,Data devolução,FORMS
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAO1B10,22/04/2026,111,Van Elétrica JV,"R$ 774,00","R$ 34,00",MANUTENÇÃO,INDISPONÍVEL,SINISTRO,SINISTRO,ENTREI EM CONTATO COM A OFICINA SEM PREVISÃO PEÇA EM FALTA ALEXANDRA 16/07 - entrei em contato hj 27/07/2026 (aguardando o retorno da Arval ),OK,"Rua Oswaldo Ricci, 90 - Jardim Uira, São José dos Campos - SP, 12227-750, Brasil",G9P02FM2660E,03/08/2026,19:08:00,Auto Center Nova Geração LOJA 1,(12) 3913-3733,a confirmar (Basepex),,"Av Dr Nelson d'Avila 735, Jardim São divas , São José dos Campos (oficina)",NA OFICINA,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP8,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9B87,23/07/2026,19,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Barulho no diferencial,"
A van está com barulho no diferencial, provavelmente coroa e pinhão ""estalos""
Está com folga e travando na saída, tanto pra frente quanto dando ré.",SOLICITADO 21/07 - ALEXANDRA - EVM20260721000024,OK,"Av. Prof. Joaquim de Michieli, 2086 - Jardim Esmeralda, Limeira - SP, 13484-461, Brasil",G9CD9BAV4KJB,03/08/2026,16:34:24,JAC - LIMEIRA,(12) 3913-3733,a confirmar (Basepex),,"RUA PASCHOAL MARMO, 2086 - JARDIM NOSSA SENHORA DE FÁTIMA, LIMEIRA - SP,",NA OFICINA,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP8,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9B86,11/06/2026,61,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Amortecedor,Amortecedor ,"Ultima oficina não recebeu o veículo, aguardando novo agendamento solcitado email | 04/08 veículo parado em nossa infraestrutura TransManá",OK,"Rod. João Amaral Gurgel, 3560 - Sapé 1, Caçapava - SP, 12285-020, Brasil",G9AXECR1EUEB,03/08/2026,04:52:04,SOLICITADO EVM ,-,a confirmar (Basepex),,"Rod. João Amaral Gurgel, 3480 - Sapé Caçapava - SP, 12285-020 (em nosso estacionamento)",NA OFICINA,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1H67,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",FOLGA,ATIVO,-,-,-,OK,"R. Pedra Alta, 130 - Jardim Altos de Santana, São José dos Campos - SP, 12214-391, Brasil",G96ETNJT35M6,03/08/2026,18:43:15,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1H33,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,-,OK,"Rua Antenor José dos Santos, 40 - CDHU Vila Centenário, Caçapava - SP, 12285-516, Brasil",G90W3N49NFXA,03/08/2026,19:10:27,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAR0C41,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"R. Haia, 146 - Jardim Augusta, São José dos Campos - SP, 12216-650, Brasil",G941VT7F2K8E,03/08/2026,19:10:28,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1H48,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,PROTOCOLO 22323960 - ALEXANDRA 21/07,OK,"R. José Pereira de Faria, 140 - Res. Estoril, Taubaté - SP, 12092-732, Brasil",G95F0RMD78DN,03/08/2026,19:10:24,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1H43,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,PROTOCOLO 22323958 - ALEXANDRA 21/07,OK,"R. Teresina, 1143 - Parque Industrial, São José dos Campos - SP, 12235-610, Brasil",G9DPVTAFMYFY,03/08/2026,18:42:47,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1J05,10/08/2026,1,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"Rod. João Amaral Gurgel, 3560 - Sapé 1, Caçapava - SP, 12285-020, Brasil",G9ERZ8N6EVD9,03/08/2026,19:10:24,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAO1B16,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,,OK,"R. Visc. do Rio Branco, 302 - Centro, Taubaté - SP, 12020-040, Brasil",G93AHU19RBFW,03/08/2026,19:09:35,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1I80,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,SOLICITAMOS AGENDAMENTO EM 31/03/26,OK,"R. Cap. Edu Figueiredo, 55 - Chacaras Rurais Santa Maria, Jacareí - SP, 12328-310, Brasil",G97E0J78DBAW,03/08/2026,19:10:23,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS9F68,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,-,OK,"R. Osvaldo Macedo Lecques, 240 - Jardim Torrao de Ouro, São José dos Campos - SP, 12231-610, Brasil",G9W153HYTY88,03/08/2026,19:09:26,-,-,12/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP8,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9B93,11/08/2026,0,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,PROTOCOLO EVM20260714000007,OK,"Av. Dom Pedro I, 500 - Granjas Reunidas São Goncalo, Taubaté - SP, 12081-810, Brasil",G91DU79P2J77,03/08/2026,19:06:53,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAR0C75,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,PROTOCOLO 22281161,OK,"Av. Independência, 333 - Independência, Taubaté - SP, 12031-000, Brasil",G950R0TAR8XJ,03/08/2026,19:03:41,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1H35,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,-,OK,"Av. Feira de Santana, 82 - Jardim Vale do Sol, São José dos Campos - SP, 12238-000, Brasil",G95FV9BYYBPP,03/08/2026,19:09:45,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAR0D57,10/08/2026,1,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,PROTOCOLO 22323794 - ALEXANDRA 21/07,OK,"Rod. João Amaral Gurgel, 3480 - Sapé 1, Caçapava - SP, 12285-020, Brasil",G9JNK414CXUV,03/08/2026,19:10:12,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAT0E37,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,PROTOCOLO 22281334,OK,"Av. Navrik Feres Aguiar, 38 - Piracangaguá, Taubaté - SP, 12042-340, Brasil",G9HUTM2CFVZV,03/08/2026,19:10:24,-,-,12/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP8,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9B92,11/08/2026,0,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",RODOU,ATIVO,-,-,,OK,"R. H18B, 208 - Campus do CTA, São José dos Campos - SP, 12228-700, Brasil",G9RNA9HZP6B6,03/08/2026,19:09:56,-,-,12/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP8,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAS1J11,11/08/2026,0,Van Elétrica JV,"R$ 774,00","R$ 34,00",RODOU,ATIVO,-,-,PROTOCOLO 22281263,OK,"R. Cap. Antônio Raposo Barreto, 50 - Jardim Bela Vista, Taubaté - SP, 12091-530, Brasil",G91Y6KDHFXAW,03/08/2026,18:45:46,-,-,12/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP8,Large Van Eletrica J750,Large Van Eletrica J750,Infra MLP,TAS9B88,08/06/2026,64,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",MANUTENÇÃO,INDISPONÍVEL,Amortecedor quebrado,"Veículo parou em rota, problemas no amortecedor - (30/05) a van TAS9B88, estourou o amortecedor e a roda entortou, por esse motivo também estourou o flexível do freio fazendo com que vazasse o óleo do freio.",,Offline,"R. Fernão Pompeu de Camargo, 803 - Jardim Leonor, Campinas - SP, 13041-025, Brasil",G9EAFPRE6MU4,10/03/2026,15:36:04,Oficina do Douglas Tech,11 93253-9946 / 11 98294-9466,a confirmar (Basepex),NÃO POSSUI,"Rua Impéria, 711 - Vila Nova Trieste Jarinu - SP, 11401-651",NA OFICINA,,,NÃO
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP9,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2J08,08/08/2026,3,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",RODOU,ATIVO,-,-,,OK,"CJXJ+5F - Jardim Nova Limeira, Limeira - SP, Brasil",G9RKESUVN5ET,03/08/2026,19:10:15,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP9,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2J14,07/08/2026,4,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",RODOU,ATIVO,-,-,,OK,"CJXJ+5F - Jardim Nova Limeira, Limeira - SP, Brasil",G9VDHWD67DY6,03/08/2026,19:07:55,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP9,E-Utilitário Last Mile,E-Utilitário Last Mile,Infra MLP,SDQ2J16,08/08/2026,3,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",RODOU,ATIVO,-,-,,OK,"Av. Dr. Lauro Corrêa da Silva, 2225 - Jardim Roseira, Limeira - SP, 35931-092, Brasil",G9JRYJKNWPRK,03/08/2026,19:10:27,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP9,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2J48,08/08/2026,3,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",RODOU,ATIVO,-,-,,OK,"CJXJ+5F - Jardim Nova Limeira, Limeira - SP, Brasil",G93S462JADPJ,03/08/2026,19:09:00,-,-,10/ago./26,,,OK,SIM,10/08/2026,SIM
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP9,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2J11,08/08/2026,3,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",FOLGA,ATIVO,-,-,Aguardando orçamento complementar,Offline,"Via Francisco D'Andrea, 6706 - Jardim Porto Real II, Limeira - SP, 13484-130, Brasil",G9K41DUY1TNS,18/06/2026,17:33:18,-,-,10/ago./26,NÃO POSSUI,,OK,SIM,10/08/2026,SIM
Utilitário Elétrico,Localiza,Kangoo Z.E. MAXI 2 Lugares 2P,SSP9,E-Utilitário Last Mile,E-Utilitário Last Mile,Portatil,SDQ2J10,26/05/2026,77,E-Utilitário Last Mile,"R$ 583,00","R$ 26,00",MANUTENÇÃO FINALIZADA,INDISPONÍVEL,ok,Porta do motorista não tem macaneta e a de traz nao esta fechando,VEÍCULO LIBERADO 17/07 pela locadora mas a oficina não liberou / 03/08/2026 - veiculo liberado pela oficina com 49% de autonomia .,OK,"Av. Pres. Médici, 1214 - Mutinga, Osasco - SP, 06268-000, Brasil",G9REXU6VTJJC,03/08/2026,17:55:37,LOCALIZA - SÃO PAULO,-,a confirmar (Basepex),,"Rua Passos, 39- Belenzinho- São Paulo - SP",NA OFICINA,NÃO,,NÃO
