Categoria,Contrato,Modelo Titular,Operação ,Cadastro - Logistics,Cadastro como Deveria Ser,Modo de carga,Placa,Ultimo BIPE,Dias Sem BIPE,Cadastro,Valor Diária,Energia,STATUS DO FORMS,STATUS DO VEÍCULO,MOTIVO DA MANUTENÇÃO,DESCRIÇÃO DO PROBLEMA (+ recente),ATUALIZAÇÕES,STATUS GEOTAB,Ultima Localização,Nº DE SERIE GEOTAB,Ultima Localização,Horário,Oficina,Contato ,Previsão Desmobilização,TICKET MANUTENÇÃO ROTAGYN,Estacionamentos - veículos em manutenção,Devolução,Representante da Basepex,Data devolução,FORMS
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra Interna,TAO1B42,07/08/2026,4,Van Elétrica JV,"R$ 774,00","R$ 34,00",FOLGA,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",G9169XY9Z55C,03/08/2026,19:10:05,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,CAAS - Ezvolt - Jundiaí,TAO0J42,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",FOLGA,ATIVO,-,-,,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9M7J123KFHZ,03/08/2026,18:42:59,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAO0J46,07/08/2026,4,Van Elétrica JV,"R$ 774,00","R$ 34,00",FOLGA,ATIVO,-,-,-,OK,"Av. Quatorze de Dezembro, 2176 - Jardim Cidapel, Jundiaí - SP, 13206-105, Brasil",G91BNP1BARB9,03/08/2026,18:52:48,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I96,07/08/2026,4,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",FOLGA,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11100 - Distrito Industrial, Jundiaí - SP, 13213-100, Brasil",GAN4F6TFBSFJ,03/08/2026,18:52:16,-,-,10/ago./26,SOLICITADO 17/06/2026 - 39808,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1I70,08/08/2026,3,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",FOLGA,ATIVO,-,-,-,OK,"Av. Quatorze de Dezembro, 3100 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9F2KPHHFKTA,03/08/2026,18:55:58,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,Infra MLP,TAR1I77,09/08/2026,2,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",FOLGA,ATIVO,-,-,veiculo sem driver / aguardando orçamento,OK,"R. Wilhelm Winter, 300 - Distrito Industrial, Jundiaí - SP, 13213-000, Brasil",G94J2F6JEMHE,03/08/2026,18:26:43,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,CAAS - Ezvolt - Jundiaí,TAT0D66,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",FOLGA,ATIVO,-,-, 30/ 07 veiculo esta parado por conta da porta e da macaneta precisa de uma atenção pois já aconteceu acidente com freio veiculo encotra-se parado ,OK,"Av. Quatorze de Dezembro, 3100 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9WXAD4AKY3V,03/08/2026,19:01:09,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,Localiza,E-Transit,SSP18,Large Van Elétrica - Equipe Única - Localiza,Large Van Elétrica - Equipe Única - Localiza,CAAS - Ezvolt - Jundiaí,TAR1J34,07/08/2026,4,Large Van Elétrica - Equipe Única - Localiza,"R$ 1.033,00","R$ 39,00",FOLGA,ATIVO,-,-,,OK,"Av. Antônio Frederico Ozanan, 11000 - Distrito Industrial, Jundiaí - SP, 13213-030, Brasil",G9AJW118U5V7,03/08/2026,18:47:52,-,-,10/ago./26,,,PENDENTE,,,NÃO
Van Elétrica,Arval,JAC 5.5,SSP18,Van Elétrica JV,Van Elétrica JV,Infra MLP,TAN8J56,08/08/2026,3,Van Elétrica JV,"R$ 774,00","R$ 34,00",FOLGA,ATIVO,-,-,PROTOCO 22105403 dispacher afirma que veículo esta pronto e ira retirar dia 18/07 Alexandra,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9XNT5XE217Y,03/08/2026,18:52:08,-,-,10/ago./26,,,PENDENTE,,,NÃO
Large Van Elétrica,EVM,JAC E-JV12,SSP18,Large Van Eletrica J750,Large Van Eletrica J750,CAAS - Ezvolt - Jundiaí,TAS9D94,08/08/2026,3,Large Van Eletrica J750,"R$ 1.012,00","R$ 39,00",FOLGA,ATIVO,-,-,,OK,"Av. Quatorze de Dezembro, 3060 - Vila Francisco Eber, Jundiaí - SP, 13206-105, Brasil",G9XBV83ET5PX,03/08/2026,18:54:30,-,-,10/ago./26,,,PENDENTE,,,NÃO
